# Gene: SEPTIN5
# Gene ID: ENSG00000184702.21
# Chromosome: chr22
# TSS: 19714467
# Strand: +
# Gene coordinates: 19714467-19724224
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
19714710	243
19714714	247
19714801	334
19714846	379
19714881	414
19714986	519
19716073	1606
19716447	1980
19716723	2256
19716987	2520
19717369	2902
19717708	3241
19717932	3465
19718170	3703
19718141	3674
19718145	3678
19718146	3679
19718184	3717
19718298	3831
19718229	3762
19718240	3773
19718429	3962
19718432	3965
19718449	3982
19718464	3997
19718465	3998
19718493	4026
19718509	4042
19718516	4049
19718522	4055
19718546	4079
19718547	4080
19718548	4081
19718548	4081
19718572	4105
19718591	4124
19718610	4143
19718611	4144
19718616	4149
19718616	4149
19718633	4166
19718634	4167
19718638	4171
19718646	4179
19718668	4201
19718810	4343
19718958	4491
19718887	4420
19719013	4546
19719106	4639
19719068	4601
19719370	4903
19719502	5035
19719661	5194
19719796	5329
19719928	5461
19720085	5618
19720130	5663
19720208	5741
19720419	5952
19720419	5952
19720652	6185
19720782	6315
19720789	6322
19720876	6409
19721165	6698
19721191	6724
19721201	6734
19721213	6746
19721368	6901
19721522	7055
19721672	7205
19721688	7221
19721738	7271
19721739	7272
19721741	7274
19721754	7287
19721799	7332
19722169	7702
19722116	7649
19722268	7801
19722284	7817
19722293	7826
19722452	7985
19722652	8185
19722800	8333
19722800	8333
19722927	8460
19722891	8424
19722891	8424
19722910	8443
19722926	8459
19722927	8460
19722929	8462
19722998	8531
19723006	8539
19723006	8539
19723033	8566
19723131	8664
19723061	8594
19723072	8605
19723072	8605
19723115	8648
19723208	8741
19723210	8743
19723213	8746
19723213	8746
19723153	8686
19723249	8782
19723175	8708
19723175	8708
19723228	8761
19723261	8794
19723285	8818
19723299	8832
19723299	8832
19723321	8854
19723323	8856
19723331	8864
19723342	8875
19723342	8875
19723344	8877
19723344	8877
19723344	8877
19723347	8880
19723350	8883
19723357	8890
19723373	8906
19723386	8919
19723405	8938
19723426	8959
19723427	8960
19723429	8962
19723447	8980
19723456	8989
19723470	9003
19723479	9012
19723500	9033
19723576	9109
19723511	9044
19723589	9122
19723517	9050
19723518	9051
19723520	9053
19723521	9054
19723527	9060
19723527	9060
19723528	9061
19723534	9067
19723535	9068
19723547	9080
19723550	9083
19723551	9084
19723634	9167
19723563	9096
19723566	9099
19723566	9099
19723566	9099
19723566	9099
19723566	9099
19723567	9100
19723568	9101
19723571	9104
19723573	9106
19723573	9106
19723574	9107
19723574	9107
19723596	9129
19723607	9140
19723607	9140
19723608	9141
19723608	9141
19723608	9141
19723618	9151
19723629	9162
19723629	9162
19723629	9162
19723630	9163
19723633	9166
19723633	9166
19723637	9170
19723654	9187
19723655	9188
19723656	9189
19723674	9207
19723674	9207
19723679	9212
19723698	9231
19723711	9244
19723717	9250
19723717	9250
19723737	9270
19723740	9273
19723743	9276
19723743	9276
19723747	9280
19723747	9280
19723748	9281
19723748	9281
19723756	9289
19723767	9300
19723781	9314
19723782	9315
19723784	9317
19723798	9331
19723798	9331
19723798	9331
19723812	9345
19723897	9430
19723823	9356
19723836	9369
19723842	9375
19723851	9384
19723861	9394
19723872	9405
19723947	9480
19723874	9407
19723920	9453
19723929	9462
19723936	9469
19724013	9546
19723941	9474
19723956	9489
19724037	9570
19724043	9576
19723989	9522
19724070	9603
19724070	9603
19724014	9547
19724031	9564
19724031	9564
19724032	9565
19724064	9597
19724064	9597
19724152	9685
19724086	9619
19724092	9625
19724092	9625
19724100	9633
19724102	9635
19724177	9710
19724177	9710
19724180	9713
19724219	9752
19724219	9752
19724220	9753
