# Gene: PRAME
# Gene ID: ENSG00000185686.18
# Chromosome: chr22
# TSS: 22559361
# Strand: -
# Gene coordinates: 22547701-22559361
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
22547713	11648
22547760	11601
22547785	11576
22547787	11574
22547807	11554
22547815	11546
22547820	11541
22547826	11535
22547837	11524
22547837	11524
22547864	11497
22547883	11478
22547889	11472
22547899	11462
22547903	11458
22547906	11455
22547950	11411
22547980	11381
22547999	11362
22548093	11268
22548173	11188
22548174	11187
22548174	11187
22548174	11187
22548191	11170
22548191	11170
22548192	11169
22548209	11152
22548220	11141
22548220	11141
22548223	11138
22548228	11133
22548233	11128
22548238	11123
22548238	11123
22548241	11120
22548243	11118
22548243	11118
22548243	11118
22548244	11117
22548260	11101
22548267	11094
22548284	11077
22548294	11067
22548304	11057
22548310	11051
22548310	11051
22548341	11020
22548353	11008
22548354	11007
22548354	11007
22548357	11004
22548360	11001
22548420	10941
22548500	10861
22548500	10861
22548503	10858
22548504	10857
22548504	10857
22548526	10835
22548526	10835
22548526	10835
22548544	10817
22548545	10816
22548545	10816
22548559	10802
22548569	10792
22548570	10791
22548570	10791
22548591	10770
22548595	10766
22548601	10760
22548605	10756
22548614	10747
22548616	10745
22548631	10730
22548635	10726
22548642	10719
22548675	10686
22549790	9571
22548715	10646
22548743	10618
22548746	10615
22548748	10613
22548757	10604
22548765	10596
22548765	10596
22548765	10596
22548767	10594
22548769	10592
22548783	10578
22548794	10567
22548806	10555
22548819	10542
22548898	10463
22548901	10460
22548903	10458
22548903	10458
22548907	10454
22548908	10453
22548909	10452
22548927	10434
22548927	10434
22549044	10317
22549044	10317
22549044	10317
22549054	10307
22549078	10283
22549078	10283
22549088	10273
22549105	10256
22549123	10238
22549133	10228
22549157	10204
22549157	10204
22549189	10172
22549209	10152
22549266	10095
22549270	10091
22549282	10079
22549285	10076
22549288	10073
22549349	10012
22549499	9862
22549502	9859
22549505	9856
22549505	9856
22549506	9855
22549518	9843
22549521	9840
22549522	9839
22549522	9839
22549606	9755
22549653	9708
22549673	9688
22549697	9664
22549712	9649
22549714	9647
22549719	9642
22549732	9629
22549761	9600
22549766	9595
22549766	9595
22549766	9595
22549770	9591
22549805	9556
22549805	9556
22549820	9541
22549820	9541
22549854	9507
22549854	9507
22549855	9506
22549880	9481
22549880	9481
22549814	9547
22549905	9456
22550142	9219
22550155	9206
22550169	9192
22550179	9182
22550279	9082
22550361	9000
22550400	8961
22550443	8918
22550485	8876
22550503	8858
22550503	8858
22550510	8851
22550530	8831
22550535	8826
22550536	8825
22550542	8819
22550549	8812
22550549	8812
22550552	8809
22550627	8734
22550627	8734
22550659	8702
22550689	8672
22550702	8659
22550743	8618
22550771	8590
22550771	8590
22550772	8589
22550786	8575
22550810	8551
22550810	8551
22550831	8530
22550831	8530
22550834	8527
22550871	8490
22550875	8486
22550880	8481
22550887	8474
22550888	8473
22550889	8472
22550890	8471
22550898	8463
22550898	8463
22550899	8462
22550939	8422
22550941	8420
22551069	8292
22551070	8291
22551070	8291
22551092	8269
22551109	8252
22551111	8250
22551119	8242
22551130	8231
22551132	8229
22551132	8229
22551136	8225
22551136	8225
22551138	8223
22551138	8223
22551138	8223
22551141	8220
22551147	8214
22551158	8203
22551189	8172
22551191	8170
22551288	8073
22551393	7968
22551473	7888
22551508	7853
22551544	7817
22551744	7617
22551746	7615
22551746	7615
22551755	7606
22551765	7596
22551772	7589
22551792	7569
22551801	7560
22552097	7264
22552287	7074
22552496	6865
22552498	6863
22552729	6632
22552736	6625
22552750	6611
22552759	6602
22552763	6598
22552763	6598
22552809	6552
22552824	6537
22552833	6528
22552841	6520
22552869	6492
22552870	6491
22552871	6490
22552895	6466
22552900	6461
22552906	6455
22552913	6448
22553262	6099
22553317	6044
22553362	5999
22553410	5951
22553410	5951
22553410	5951
22553870	5491
22553917	5444
22553924	5437
22554018	5343
22554045	5316
22554046	5315
22554097	5264
22554144	5217
22554203	5158
22554216	5145
22554232	5129
22554232	5129
22554233	5128
22554233	5128
22554233	5128
22554251	5110
22554296	5065
22554298	5063
22554298	5063
22554317	5044
22554367	4994
22554394	4967
22554428	4933
22554436	4925
22554436	4925
22554454	4907
22554488	4873
22554523	4838
22554571	4790
22554603	4758
22554608	4753
22554608	4753
22554627	4734
22554627	4734
22554630	4731
22554652	4709
22554655	4706
22554661	4700
22554665	4696
22554677	4684
22554678	4683
22554705	4656
22554721	4640
22554730	4631
22554763	4598
22554846	4515
22554861	4500
22554903	4458
22554903	4458
22554903	4458
22554919	4442
22554920	4441
22554980	4381
22555016	4345
22555016	4345
22555026	4335
22555029	4332
22555037	4324
22555113	4248
22555163	4198
22555237	4124
22555242	4119
22555254	4107
22555254	4107
22555314	4047
22555363	3998
22555408	3953
22555485	3876
22555508	3853
22555513	3848
22555519	3842
22555521	3840
22555521	3840
22555560	3801
22555600	3761
22555603	3758
22555605	3756
22555631	3730
22555633	3728
22555636	3725
22555637	3724
22555637	3724
22555569	3792
22555646	3715
22555655	3706
22555655	3706
22555656	3705
22555694	3667
22555721	3640
22555727	3634
22555751	3610
22555751	3610
22555751	3610
22555752	3609
22555759	3602
22555764	3597
22555769	3592
22555777	3584
22555882	3479
22555902	3459
22555904	3457
22555918	3443
22555925	3436
22555931	3430
22555932	3429
22555948	3413
22555986	3375
22556061	3300
22556094	3267
22556101	3260
22556032	3329
22556122	3239
22556209	3152
22556293	3068
22556405	2956
22556410	2951
22556418	2943
22556418	2943
22556429	2932
22556355	3006
22556395	2966
22556489	2872
22556492	2869
22556597	2764
22556602	2759
22556602	2759
22556603	2758
22556695	2666
22556743	2618
22556761	2600
22556763	2598
22556765	2596
22556829	2532
22556844	2517
22556845	2516
22556857	2504
22556868	2493
22556876	2485
22556914	2447
22556914	2447
22556926	2435
22556934	2427
22557047	2314
22557048	2313
22557197	2164
22557254	2107
22557283	2078
22557346	2015
22557346	2015
22557346	2015
22557355	2006
22557287	2074
22557368	1993
22557368	1993
22557371	1990
22557402	1959
22557411	1950
22557428	1933
22557446	1915
22557418	1943
22557461	1900
22557465	1896
22557556	1805
22557558	1803
22557584	1777
22557588	1773
22557588	1773
22557590	1771
22557594	1767
22557606	1755
22557635	1726
22557645	1716
22557731	1630
22557731	1630
22557732	1629
22557762	1599
22557786	1575
22557804	1557
22557804	1557
22558671	690
22558803	558
22558812	549
22558825	536
22558830	531
22558836	525
22558837	524
22558866	495
22558871	490
22558886	475
22558940	421
22558966	395
22558975	386
22558991	370
22559030	331
22559060	301
22559060	301
22559060	301
22559183	178
22559184	177
22559165	196
22559203	158
22559203	158
22559283	78
