# Gene: GP1BB
# Gene ID: ENSG00000203618.7
# Chromosome: chr22
# TSS: 19723539
# Strand: +
# Gene coordinates: 19723539-19724776
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
19723576	37
19723589	50
19723547	8
19723550	11
19723551	12
19723634	95
19723563	24
19723566	27
19723566	27
19723566	27
19723566	27
19723566	27
19723567	28
19723568	29
19723571	32
19723573	34
19723573	34
19723574	35
19723574	35
19723596	57
19723607	68
19723607	68
19723608	69
19723608	69
19723608	69
19723618	79
19723629	90
19723629	90
19723629	90
19723630	91
19723633	94
19723633	94
19723637	98
19723654	115
19723655	116
19723656	117
19723674	135
19723674	135
19723679	140
19723698	159
19723711	172
19723717	178
19723717	178
19723737	198
19723740	201
19723743	204
19723743	204
19723747	208
19723747	208
19723748	209
19723748	209
19723756	217
19723767	228
19723781	242
19723782	243
19723784	245
19723798	259
19723798	259
19723798	259
19723812	273
19723897	358
19723823	284
19723836	297
19723842	303
19723851	312
19723861	322
19723872	333
19723947	408
19723874	335
19723920	381
19723929	390
19723936	397
19724013	474
19723941	402
19723956	417
19724037	498
19724043	504
19723989	450
19724070	531
19724070	531
19724014	475
19724031	492
19724031	492
19724032	493
19724064	525
19724064	525
19724152	613
19724086	547
19724092	553
19724092	553
19724100	561
19724102	563
19724235	696
19724235	696
19724235	696
19724235	696
19724177	638
19724177	638
19724180	641
19724219	680
19724219	680
19724220	681
19724238	699
19724252	713
19724252	713
19724256	717
19724263	724
19724264	725
19724267	728
19724300	761
19724303	764
19724346	807
19724350	811
19724355	816
19724380	841
19724386	847
19724398	859
19724398	859
19724399	860
19724408	869
19724420	881
19724424	885
19724424	885
19724426	887
19724426	887
19724458	919
19724473	934
19724496	957
19724510	971
19724545	1006
19724545	1006
19724552	1013
19724574	1035
19724620	1081
19724643	1104
19724711	1172
19724711	1172
19724715	1176
19724727	1188
