# Gene: ENSG00000284874
# Gene ID: ENSG00000284874.1
# Chromosome: chr22
# TSS: 19717220
# Strand: +
# Gene coordinates: 19717220-19724772
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
19717369	149
19717708	488
19717932	712
19718170	950
19718141	921
19718145	925
19718146	926
19718184	964
19718298	1078
19718229	1009
19718240	1020
19718429	1209
19718432	1212
19718449	1229
19718464	1244
19718465	1245
19718493	1273
19718509	1289
19718516	1296
19718522	1302
19718546	1326
19718547	1327
19718548	1328
19718548	1328
19718572	1352
19718591	1371
19718610	1390
19718611	1391
19718616	1396
19718616	1396
19718633	1413
19718634	1414
19718638	1418
19718646	1426
19718668	1448
19718810	1590
19718958	1738
19718887	1667
19719013	1793
19719106	1886
19719068	1848
19719370	2150
19719502	2282
19719661	2441
19719796	2576
19719928	2708
19720085	2865
19720130	2910
19720208	2988
19720419	3199
19720419	3199
19720652	3432
19720782	3562
19720789	3569
19720876	3656
19721165	3945
19721191	3971
19721201	3981
19721213	3993
19721368	4148
19721522	4302
19721672	4452
19721688	4468
19721738	4518
19721739	4519
19721741	4521
19721754	4534
19721799	4579
19722169	4949
19722116	4896
19722268	5048
19722284	5064
19722293	5073
19722452	5232
19722652	5432
19722800	5580
19722800	5580
19722927	5707
19722891	5671
19722891	5671
19722910	5690
19722926	5706
19722927	5707
19722929	5709
19722998	5778
19723006	5786
19723006	5786
19723033	5813
19723131	5911
19723061	5841
19723072	5852
19723072	5852
19723115	5895
19723208	5988
19723210	5990
19723213	5993
19723213	5993
19723153	5933
19723249	6029
19723175	5955
19723175	5955
19723228	6008
19723261	6041
19723285	6065
19723299	6079
19723299	6079
19723321	6101
19723323	6103
19723331	6111
19723342	6122
19723342	6122
19723344	6124
19723344	6124
19723344	6124
19723347	6127
19723350	6130
19723357	6137
19723373	6153
19723386	6166
19723405	6185
19723426	6206
19723427	6207
19723429	6209
19723447	6227
19723456	6236
19723470	6250
19723479	6259
19723500	6280
19723576	6356
19723511	6291
19723589	6369
19723517	6297
19723518	6298
19723520	6300
19723521	6301
19723527	6307
19723527	6307
19723528	6308
19723534	6314
19723535	6315
19723547	6327
19723550	6330
19723551	6331
19723634	6414
19723563	6343
19723566	6346
19723566	6346
19723566	6346
19723566	6346
19723566	6346
19723567	6347
19723568	6348
19723571	6351
19723573	6353
19723573	6353
19723574	6354
19723574	6354
19723596	6376
19723607	6387
19723607	6387
19723608	6388
19723608	6388
19723608	6388
19723618	6398
19723629	6409
19723629	6409
19723629	6409
19723630	6410
19723633	6413
19723633	6413
19723637	6417
19723654	6434
19723655	6435
19723656	6436
19723674	6454
19723674	6454
19723679	6459
19723698	6478
19723711	6491
19723717	6497
19723717	6497
19723737	6517
19723740	6520
19723743	6523
19723743	6523
19723747	6527
19723747	6527
19723748	6528
19723748	6528
19723756	6536
19723767	6547
19723781	6561
19723782	6562
19723784	6564
19723798	6578
19723798	6578
19723798	6578
19723812	6592
19723897	6677
19723823	6603
19723836	6616
19723842	6622
19723851	6631
19723861	6641
19723872	6652
19723947	6727
19723874	6654
19723920	6700
19723929	6709
19723936	6716
19724013	6793
19723941	6721
19723956	6736
19724037	6817
19724043	6823
19723989	6769
19724070	6850
19724070	6850
19724014	6794
19724031	6811
19724031	6811
19724032	6812
19724064	6844
19724064	6844
19724152	6932
19724086	6866
19724092	6872
19724092	6872
19724100	6880
19724102	6882
19724235	7015
19724235	7015
19724235	7015
19724235	7015
19724177	6957
19724177	6957
19724180	6960
19724219	6999
19724219	6999
19724220	7000
19724238	7018
19724252	7032
19724252	7032
19724256	7036
19724263	7043
19724264	7044
19724267	7047
19724300	7080
19724303	7083
19724346	7126
19724350	7130
19724355	7135
19724380	7160
19724386	7166
19724398	7178
19724398	7178
19724399	7179
19724408	7188
19724420	7200
19724424	7204
19724424	7204
19724426	7206
19724426	7206
19724458	7238
19724473	7253
19724496	7276
19724510	7290
19724545	7325
19724545	7325
19724552	7332
19724574	7354
19724620	7400
19724643	7423
19724711	7491
19724711	7491
19724715	7495
19724727	7507
