# Gene: YDJC
# Gene ID: ENSG00000161179.15
# Chromosome: chr22
# TSS: 21630064
# Strand: -
# Gene coordinates: 21628089-21630064
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
21628131	1933
21628269	1795
21628342	1722
21628370	1694
21628319	1745
21628395	1669
21628400	1664
21628529	1535
21628572	1492
21628588	1476
21628595	1469
21628635	1429
21628759	1305
21628759	1305
21628804	1260
21628820	1244
21628973	1091
21629077	987
21629080	984
21629129	935
21629157	907
21629157	907
21629161	903
21629176	888
21629177	887
21629179	885
21629180	884
21629227	837
21629228	836
21629251	813
21629268	796
21629274	790
21629292	772
21629312	752
21629319	745
21629361	703
21629379	685
21629407	657
21629426	638
21629426	638
21629426	638
21629427	637
21629458	606
21629470	594
21629546	518
21629502	562
21629582	482
21629605	459
21629605	459
21629606	458
21629606	458
21629536	528
21629614	450
21629551	513
21629648	416
21629649	415
21629649	415
21629649	415
21629649	415
21629649	415
21629649	415
21629649	415
21629651	413
21629651	413
21629662	402
21629665	399
21629667	397
21629698	366
21629698	366
21629739	325
21629670	394
21629757	307
21629855	209
21629775	289
21629729	335
21629817	247
21629843	221
21629848	216
21629855	209
21629797	267
21629881	183
21629882	182
21629882	182
21629829	235
21629913	151
21629913	151
21629928	136
21629930	134
21629935	129
21629936	128
21629945	119
21629947	117
21629953	111
21629956	108
21629976	88
21629981	83
21629982	82
21629985	79
21629986	78
21629990	74
21629990	74
21630006	58
21630006	58
21630006	58
21630006	58
21630006	58
21629932	132
21630007	57
21630007	57
21630024	40
21630029	35
21630029	35
21630030	34
21630035	29
21630055	9
21630058	6
21630062	2
