# Histogram summary for SEPTIN5
# Bin size: 100 bp
bin_start	bin_end	count
200	300	2
300	400	2
400	500	1
500	600	1
1600	1700	1
1900	2000	1
2200	2300	1
2500	2600	1
2900	3000	1
3200	3300	1
3400	3500	1
3600	3700	3
3700	3800	4
3800	3900	1
3900	4000	5
4000	4100	8
4100	4200	10
4200	4300	1
4300	4400	1
4400	4500	2
4500	4600	1
4600	4700	2
4900	5000	1
5000	5100	1
5100	5200	1
5300	5400	1
5400	5500	1
5600	5700	2
5700	5800	1
5900	6000	2
6100	6200	1
6300	6400	2
6400	6500	1
6600	6700	1
6700	6800	3
6900	7000	1
7000	7100	1
7200	7300	6
7300	7400	1
7600	7700	1
7700	7800	1
7800	7900	3
7900	8000	1
8100	8200	1
8300	8400	2
8400	8500	7
8500	8600	5
8600	8700	5
8700	8800	9
8800	8900	14
8900	9000	8
9000	9100	22
9100	9200	27
9200	9300	16
9300	9400	13
9400	9500	9
9500	9600	10
9600	9700	8
9700	9800	6
