# Gene: SLC25A1
# Gene ID: ENSG00000100075.11
# Chromosome: chr22
# TSS: 19178788
# Strand: -
# Gene coordinates: 19175575-19178788
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
19175576	3212
19175599	3189
19175589	3199
19175589	3199
19175596	3192
19175597	3191
19175606	3182
19175629	3159
19175704	3084
19175715	3073
19175743	3045
19175744	3044
19175759	3029
19175781	3007
19175890	2898
19175906	2882
19175907	2881
19175909	2879
19175936	2852
19175936	2852
19175952	2836
19176007	2781
19176010	2778
19176024	2764
19176204	2584
19176229	2559
19176307	2481
19176307	2481
19176288	2500
19176349	2439
19176381	2407
19176387	2401
19176430	2358
19176473	2315
19176655	2133
19176705	2083
19176846	1942
19176846	1942
19176891	1897
19177008	1780
19177159	1629
19177167	1621
19177155	1633
19177169	1619
19177181	1607
19177305	1483
19177323	1465
19177366	1422
19177369	1419
19177373	1415
19177400	1388
19177450	1338
19177465	1323
19177469	1319
19177539	1249
19177617	1171
19177553	1235
19177646	1142
19177671	1117
19177671	1117
19177820	968
19177880	908
19177888	900
19177849	939
19177939	849
19177967	821
19177931	857
19177998	790
19178087	701
19178025	763
19178176	612
19178195	593
19178223	565
19178312	476
19178401	387
19178432	356
19178389	399
19178503	285
19178525	263
19178489	299
19178565	223
19178588	200
19178603	185
19178620	168
19178648	140
19178666	122
19178677	111
19178689	99
19178684	104
19178760	28
19178766	22
19178766	22
19178766	22
19178766	22
19178768	20
19178768	20
19178768	20
19178773	15
19178773	15
19178775	13
19178776	12
19178776	12
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178778	10
19178779	9
19178779	9
19178779	9
19178779	9
