# Gene: SDF2L1
# Gene ID: ENSG00000128228.6
# Chromosome: chr22
# TSS: 21642302
# Strand: +
# Gene coordinates: 21642302-21644299
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
21642320	18
21642320	18
21642320	18
21642320	18
21642322	20
21642323	21
21642331	29
21642332	30
21642336	34
21642344	42
21642353	51
21642364	62
21642364	62
21642365	63
21642371	69
21642372	70
21642375	73
21642378	76
21642385	83
21642408	106
21642452	150
21642528	226
21642492	190
21642508	206
21642518	216
21642519	217
21642541	239
21642556	254
21642590	288
21642590	288
21642628	326
21642646	344
21642757	455
21642782	480
21642928	626
21642969	667
21642941	639
21643911	1609
21643013	711
21643054	752
21643147	845
21643163	861
21643168	866
21643179	877
21643131	829
21643186	884
21643265	963
21643285	983
21643223	921
21643492	1190
21643495	1193
21643547	1245
21643631	1329
21643682	1380
21643685	1383
21643845	1543
21643987	1685
21643990	1688
21644152	1850
21644152	1850
21644155	1853
21644168	1866
