# Histogram summary for PRAME
# Bin size: 100 bp
bin_start	bin_end	count
0	100	1
100	200	5
300	400	7
400	500	4
500	600	6
600	700	1
1500	1600	4
1600	1700	3
1700	1800	8
1800	1900	3
1900	2000	9
2000	2100	6
2100	2200	2
2300	2400	2
2400	2500	6
2500	2600	6
2600	2700	3
2700	2800	4
2800	2900	2
2900	3000	6
3000	3100	2
3100	3200	1
3200	3300	3
3300	3400	3
3400	3500	8
3500	3600	3
3600	3700	8
3700	3800	13
3800	3900	7
3900	4000	2
4000	4100	1
4100	4200	5
4200	4300	1
4300	4400	6
4400	4500	5
4500	4600	3
4600	4700	6
4700	4800	10
4800	4900	2
4900	5000	6
5000	5100	4
5100	5200	8
5200	5300	2
5300	5400	3
5400	5500	3
5900	6000	4
6000	6100	2
6400	6500	7
6500	6600	6
6600	6700	4
6800	6900	2
7000	7100	1
7200	7300	1
7500	7600	4
7600	7700	4
7800	7900	3
7900	8000	1
8000	8100	1
8100	8200	2
8200	8300	18
8400	8500	12
8500	8600	9
8600	8700	3
8700	8800	3
8800	8900	11
8900	9000	2
9000	9100	2
9100	9200	2
9200	9300	2
9400	9500	3
9500	9600	13
9600	9700	7
9700	9800	2
9800	9900	9
10000	10100	6
10100	10200	2
10200	10300	8
10300	10400	4
10400	10500	9
10500	10600	9
10600	10700	6
10700	10800	12
10800	10900	12
10900	11000	1
11000	11100	12
11100	11200	21
11200	11300	1
11300	11400	2
11400	11500	7
11500	11600	8
11600	11700	2
