# Gene: MRPL40
# Gene ID: ENSG00000185608.10
# Chromosome: chr22
# TSS: 19432467
# Strand: +
# Gene coordinates: 19432467-19436077
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
19432471	4
19432473	6
19432490	23
19432501	34
19432512	45
19432513	46
19432525	58
19432529	62
19432532	65
19432532	65
19432539	72
19432546	79
19432546	79
19432547	80
19432548	81
19432553	86
19432553	86
19432554	87
19432554	87
19432554	87
19432558	91
19432495	28
19432576	109
19432522	55
19432526	59
19432526	59
19432527	60
19432603	136
19432530	63
19432530	63
19432530	63
19432530	63
19432530	63
19432530	63
19432530	63
19432606	139
19432540	73
19432544	77
19432544	77
19432544	77
19432636	169
19432563	96
19432567	100
19432568	101
19432572	105
19432572	105
19432572	105
19432582	115
19432584	117
19432659	192
19432587	120
19432663	196
19432663	196
19432589	122
19432670	203
19432597	130
19432597	130
19432597	130
19432599	132
19432600	133
19432605	138
19432605	138
19432605	138
19432605	138
19432605	138
19432605	138
19432610	143
19432613	146
19432689	222
19432699	232
19432699	232
19432626	159
19432727	260
19432727	260
19432730	263
19432731	264
19432731	264
19432732	265
19432657	190
19432732	265
19432657	190
19432657	190
19432658	191
19432738	271
19432739	272
19432666	199
19432742	275
19432744	277
19432673	206
19432762	295
19432701	234
19432705	238
19432705	238
19432705	238
19432705	238
19432708	241
19432710	243
19432726	259
19432738	271
19432738	271
19432745	278
19432745	278
19432756	289
19432762	295
19432762	295
19432762	295
19432762	295
19432768	301
19432769	302
19432773	306
19432777	310
19432789	322
19432918	451
19433019	552
19433025	558
19433031	564
19432959	492
19433036	569
19433036	569
19433036	569
19433043	576
19432971	504
19432989	522
19433070	603
19432998	531
19432999	532
19433045	578
19433045	578
19433064	597
19433160	693
19433192	725
19433125	658
19433129	662
19433130	663
19433208	741
19433135	668
19433138	671
19433216	749
19433216	749
19433217	750
19433217	750
19433231	764
19433244	777
19433210	743
19433292	825
19433296	829
19433331	864
19433397	930
19433558	1091
19433828	1361
19433852	1385
19433907	1440
19433941	1474
19434040	1573
19434322	1855
19434329	1862
19434451	1984
19434538	2071
19434542	2075
19434662	2195
19434873	2406
19434855	2388
19434910	2443
19435034	2567
19435099	2632
19435242	2775
19435244	2777
19435244	2777
19435286	2819
19435349	2882
19435352	2885
19435445	2978
19435445	2978
19435462	2995
19435517	3050
19435626	3159
19435730	3263
19435848	3381
