# Histogram summary for ENSG00000284874
# Bin size: 100 bp
bin_start	bin_end	count
100	200	1
400	500	1
700	800	1
900	1000	5
1000	1100	3
1200	1300	8
1300	1400	11
1400	1500	5
1500	1600	1
1600	1700	1
1700	1800	2
1800	1900	2
2100	2200	1
2200	2300	1
2400	2500	1
2500	2600	1
2700	2800	1
2800	2900	1
2900	3000	2
3100	3200	2
3400	3500	1
3500	3600	2
3600	3700	1
3900	4000	4
4100	4200	1
4300	4400	1
4400	4500	2
4500	4600	5
4800	4900	1
4900	5000	1
5000	5100	3
5200	5300	1
5400	5500	1
5500	5600	2
5600	5700	3
5700	5800	7
5800	5900	5
5900	6000	8
6000	6100	6
6100	6200	14
6200	6300	11
6300	6400	32
6400	6500	18
6500	6600	17
6600	6700	8
6700	6800	9
6800	6900	14
6900	7000	6
7000	7100	14
7100	7200	9
7200	7300	9
7300	7400	4
7400	7500	5
7500	7600	1
