# Gene: THAP7
# Gene ID: ENSG00000184436.13
# Chromosome: chr22
# TSS: 21002196
# Strand: -
# Gene coordinates: 20999104-21002196
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
20999128	3068
20999192	3004
20999122	3074
20999134	3062
20999134	3062
20999134	3062
20999134	3062
20999135	3061
20999225	2971
20999185	3011
20999302	2894
20999252	2944
20999473	2723
20999423	2773
20999445	2751
20999459	2737
20999466	2730
20999563	2633
20999580	2616
20999580	2616
20999593	2603
20999594	2602
20999595	2601
20999601	2595
20999601	2595
20999603	2593
20999603	2593
20999606	2590
20999606	2590
20999607	2589
20999614	2582
20999615	2581
20999546	2650
20999555	2641
20999635	2561
20999657	2539
20999611	2585
20999667	2529
20999753	2443
20999771	2425
20999774	2422
20999787	2409
20999788	2408
20999788	2408
20999713	2483
20999713	2483
20999843	2353
20999784	2412
20999784	2412
20999784	2412
20999798	2398
20999803	2393
20999851	2345
20999949	2247
20999877	2319
20999963	2233
20999931	2265
21000025	2171
21000089	2107
21000111	2085
21000119	2077
21000158	2038
21000136	2060
21000166	2030
21000179	2017
21000195	2001
21000197	1999
21000200	1996
21000295	1901
21000232	1964
21000298	1898
21000406	1790
21000486	1710
21000494	1702
21000428	1768
21000612	1584
21000622	1574
21000623	1573
21000601	1595
21000700	1496
21000647	1549
21000700	1496
21000711	1485
21000831	1365
21000849	1347
21000777	1419
21000923	1273
21000949	1247
21001036	1160
21001165	1031
21001092	1104
21001225	971
21001277	919
21001277	919
21001366	830
21001426	770
21001415	781
21001525	671
21001578	618
21001623	573
21001635	561
21001688	508
21001697	499
21001700	496
21001700	496
21001708	488
21001715	481
21001725	471
21001725	471
21001725	471
21001747	449
21001749	447
21001674	522
21001749	447
21001749	447
21001751	445
21001755	441
21001755	441
21001756	440
21001761	435
21001761	435
21001761	435
21001765	431
21001765	431
21001770	426
21001787	409
21001773	423
21001781	415
21001811	385
21001932	264
21001867	329
21001945	251
21001879	317
21001956	240
21001957	239
21001965	231
21001891	305
21001891	305
21001892	304
21001892	304
21001893	303
21001893	303
21001981	215
21001989	207
21001928	268
21001951	245
21001952	244
21002034	162
21002090	106
21002104	92
21002107	89
21002146	50
21002153	43
21002161	35
21002161	35
21002167	29
21002167	29
21002167	29
21002181	15
21002151	45
