gene_id	gene_name	transcript_id	chrom	strand	tss	tx_start	tx_end	length	pol2_signal
ENSG00000000003.16	TSPAN6	ENST00000612152.4	chrX	-	100637104	100627109	100637104	9996	
ENSG00000000005.6	TNMD	ENST00000373031.5	chrX	+	100584936	100584936	100599885	14950	
ENSG00000000419.14	DPM1	ENST00000683466.1	chr20	-	50959140	50935020	50959140	24121	-1.0
ENSG00000000457.14	SCYL3	ENST00000367771.11	chr1	-	169893896	169849631	169893896	44266	-2.25
ENSG00000000460.17	FIRRM	ENST00000359326.9	chr1	+	169795040	169795040	169854080	59041	3.0135136
ENSG00000000938.13	FGR	ENST00000374005.8	chr1	-	27635185	27612064	27635185	23122	
ENSG00000000971.17	CFH	ENST00000695981.1	chr1	+	196651998	196651998	196752476	100479	8.736842
ENSG00000001036.14	FUCA2	ENST00000002165.11	chr6	-	143511720	143494812	143511720	16909	-8.626667
ENSG00000001084.13	GCLC	ENST00000505197.1	chr6	-	53616970	53522465	53616970	94506	
ENSG00000001167.15	NFYA	ENST00000341376.11	chr6	+	41072974	41072974	41102403	29430	3.2045455
ENSG00000001460.18	STPG1	ENST00000374409.5	chr1	-	24415097	24356999	24415097	58099	-1.0
ENSG00000001461.18	NIPAL3	ENST00000003912.8	chr1	+	24415803	24415803	24475252	59450	1.3793104
ENSG00000001497.18	LAS1L	ENST00000677969.1	chrX	-	65534754	65499118	65534754	35637	-1.8717948
ENSG00000001561.7	ENPP4	ENST00000321037.5	chr6	+	46129989	46129989	46146688	16700	
ENSG00000001617.12	SEMA3F	ENST00000413852.5	chr3	+	50155091	50155091	50189074	33984	1.7333333
ENSG00000001626.18	CFTR	ENST00000673785.1	chr7	+	117287120	117287120	117548675	261556	
ENSG00000001629.10	ANKIB1	ENST00000265742.8	chr7	+	92245974	92245974	92401383	155410	3.511628
ENSG00000001630.18	CYP51A1	ENST00000691309.1	chr7	-	92134503	92084987	92134503	49517	-1.7846154
ENSG00000001631.17	KRIT1	ENST00000394507.5	chr7	-	92246100	92198969	92246100	47132	-1.3333334
ENSG00000002016.18	RAD52	ENST00000430095.6	chr12	-	990053	912545	990053	77509	-1.125
ENSG00000002330.14	BAD	ENST00000309032.8	chr11	-	64284665	64269830	64284665	14836	-1.6785715
ENSG00000002549.13	LAP3	ENST00000226299.9	chr4	+	17577198	17577198	17607970	30773	1.0
ENSG00000002586.20	CD99	ENST00000611428.5	chrX	+	2691187	2691187	2741300	50114	
ENSG00000002587.10	HS3ST1	ENST00000002596.6	chr4	-	11428894	11393150	11428894	35745	
ENSG00000002726.21	AOC1	ENST00000493429.5	chr7	+	150824627	150824627	150861504	36878	
