# Gene: TMEM191B
# Gene ID: ENSG00000278558.6
# Chromosome: chr22
# TSS: 18527802
# Strand: +
# Gene coordinates: 18527802-18530573
#
# position = genomic coordinate
# distance_from_TSS = position - TSS (positive = downstream, negative = upstream)
#
position	distance_from_TSS
18528068	266
18528445	643
18528445	643
18528487	685
18528501	699
18528512	710
18528528	726
18528570	768
18528573	771
18528576	774
18528592	790
18528531	729
18528615	813
18528620	818
18528605	803
18529058	1256
18529062	1260
18529065	1263
18529111	1309
18529466	1664
18529686	1884
18529707	1905
18529718	1916
18529774	1972
18529803	2001
18529812	2010
18529825	2023
18529826	2024
18529826	2024
18529826	2024
18529753	1951
18529837	2035
18529982	2180
18529983	2181
18529993	2191
18529993	2191
18530016	2214
18530030	2228
18529957	2155
18530130	2328
18530213	2411
18530214	2412
18530308	2506
18530311	2509
18530321	2519
18530366	2564
18530372	2570
18530399	2597
18530401	2599
18530403	2601
18530408	2606
18530414	2612
18530422	2620
18530422	2620
18530422	2620
18530422	2620
18530423	2621
18530423	2621
18530424	2622
18530424	2622
18530424	2622
18530424	2622
18530424	2622
18530424	2622
18530427	2625
18530427	2625
18530438	2636
18530540	2738
18530540	2738
18530563	2761
18530565	2763
18530513	2711
